timestamp,ra_email,authors,year,journal,doi,abstract_text,keywords,n_experiments,hypothesis_present,age_1,n_boys_n_girls_age_1,age_2,n_boys_n_girls_age_2,age_3,n_boys_n_girls_age_3,age_4,n_boys_n_girls_age_4,n_boys_n_girls,sample_age,sexdiff_analysis_reported,sexdiff_reported,sexdiff_stats,is_exp2,exp2_n_boys_n_girls,exp2_sample_age,exp2_sexdiff_analysis_reported,exp2_sexdiff_reported,is_exp3,exp3_n_boys_n_girls,exp3_sample_age,exp3_sexdiff_analysis_reported,exp3_sexdiff_reported,is_exp4,reliability_coding,is_longitudinal,is_multi_age
10/26/2020 19:49,rlyang@princeton.edu,Gola & Calvert,2011,Infancy,10.1111/j.1532-7078.2010.00051.x,"This study examined the effects of program pacing, defined as the rate of scene and character change per minute, on infants’ visual attention to video presentations. Seventy‐two infants (twenty‐four 6‐month‐olds, twenty‐four 9‐month‐olds, twenty‐four 12‐month‐olds) were exposed to one of two sets of high‐ and low‐paced commercial infant DVDs. Each DVD was approximately 5‐min long, and the order the DVDs were viewed was counterbalanced for pace. Attention was higher during rapidly than slowly paced DVDs, particularly for the 6‐ and 9‐month‐old infants. These results support previous research documenting that attention is initially controlled by exogenous qualities (e.g., rapid pace), but with development and experience becomes more influenced by endogenous factors.",attention/selective attention,1,No,6,18 boys; 18 girls,9,18 boys; 18 girls,12,18 boys; 18 girls,,,36 boys; 36 girls,24 6-month-olds; 24 9-month-olds; 24 12-month-olds,Yes,No,"No statistic, but ""because infants’ attention did not vary by sex, this variable was
dropped from all analyses.""",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
10/26/2020 20:11,rlyang@princeton.edu,"Simpson, Varga, Frick, & Fragaszy",2011,Infancy,10.1111/j.1532-7078.2010.00052.x,"Perceptual narrowing—a phenomenon in which perception is broad from birth, but narrows as a function of experience—has previously been tested with primate faces. In the first 6 months of life, infants can discriminate among individual human and monkey faces. Though the ability to discriminate monkey faces is lost after about 9 months, infants retain human face discrimination, presumably because of their experience with human faces. The current study demonstrates that 4‐ to 6‐month‐old infants are able to discriminate nonprimate faces as well. In a visual paired comparison test, 4‐ to 6‐month‐old infants (n = 26) looked significantly longer at novel sheep (Ovis aries) faces, compared to a familiar sheep face (p = .017), while 9‐ to 11‐month‐olds (n = 26) showed no visual preference, and adults (n = 27) had a familiarity preference (p < .001). Infants’ face recognition systems are broadly tuned at birth—not just for primate faces, but for nonprimate faces as well—allowing infants to become specialists in recognizing the types of faces encountered in their first year of life.","perception, face recognition",1,No,5,9 boys; 17 girls,10,12 boys; 14 girls,,,,,21 boys; 31 girls,"Twenty-six 4- to 6-month-olds (age range = 129–188 days; 17 females), and twenty-six 9- to 11-month-olds (age range = 274–458 days; 14 females)",Yes,No,"No statistics, but ""a preliminary analysis revealed no gender differences, no effect of the side of the novel face, and no differences across the two familiar faces, so data were collapsed across gender, side of novel face, and familiarization stimulus in subsequent analyses.""",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
10/26/2020 20:30,rlyang@princeton.edu,"Reynolds, Guy, & Zhang",2011,Infancy,10.1111/j.1532-7078.2010.00060.x,"Past studies have identified individual differences in infant visual attention based upon peak look duration during initial exposure to a stimulus. Colombo and colleagues found that infants that demonstrate brief visual fixations (i.e., short lookers) during familiarization are more likely to demonstrate evidence of recognition memory during subsequent stimulus exposure than infants that demonstrate long visual fixations (i.e., long lookers). This study utilized event‐related potentials (ERPs) to examine possible neural mechanisms associated with individual differences in visual attention and recognition memory for 6‐ and 7.5‐month‐old infants. Short‐ and long‐looking infants viewed images of familiar and novel objects during ERP testing. There was a stimulus type by looker type interaction at temporal and frontal electrodes on the late slow wave (LSW). Short lookers demonstrated an LSW that was significantly greater in amplitude in response to novel stimulus presentations. No significant differences in LSW amplitude were found based on stimulus type for long lookers. These results indicate deeper processing and recognition memory of the familiar stimulus for short lookers.","attention/selective attention, cognition/cognitive development, memory, recognition",1,No,6,7 boys; 6  girls,7.5,6 boys; 5 girls,,,,,13 boys; 11 girls,"24 infants were tested at 6 (N = 13; 7 males, 6 females) or 7.5 (N = 11; 6 males, 5 females) months of age",No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
10/29/2020 15:43,rlyang@princeton.edu,"Baillargeon, Sward, Keenan, & Cao",2011,Infancy,10.1111/j.1532-7078.2010.00043.x,"Recent epidemiological evidence suggests that even in the midst of the “terrible twos,” frequent/severe oppositional‐defiant behaviors (ODBs) are not common among toddlers and hence may be indicative of a significant opposition‐defiance problem. The main objective of this study was to obtain a maximum likelihood estimate of the proportion of toddlers in the general population who are reported to exhibit ODBs on a frequent basis, and to test for gender differences therein. Data came from The Québec Longitudinal Study of Child Development, a survey of a representative birth cohort of children from the Canadian province of Québec. Multigroup latent class analysis was used to distinguish between toddlers who exhibit ODBs on a frequent basis and those who do so only occasionally or not at all. The results show that 12.4% of 17‐month‐old boys and girls exhibit ODBs on a frequent basis. Further, the results show a strong positive association between opposition‐defiance and physical aggression early in life, with a great majority of physically aggressive toddlers exhibiting ODBs on a frequent basis. In contrast, the results show that only a minority of toddlers who may be experiencing a significant opposition‐defiance problem exhibit physically aggressive behaviors on a frequent basis.",oppositional-defiant behaviors,1,Yes,17,2045,,,,,,,2045,longitudinal study (see previous response),Yes,No,"This model did not represent a statistically significant decrease in fit from the unrestricted three-class model (DL2 = 22.00 ) 14.36 [8.47 + 5.89] = 7.64; Ddf = 24 ) 12 = 12; p = .81), suggesting that there are no gender differences in the association between the latent opposition-defiance variable and the ODBs.

This model did not represent a statistically significant decrease in fit from the restricted three-class model (DL2 = 24.83 ) 22.00 = 2.83; Ddf = 26 ) 24 = 2; p = .24), suggesting that there is the same proportion of boys and girls in the general population who may be experiencing a significant opposition-defiance problem before 2 years of age.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
11/1/2020 14:54,rlyang@princeton.edu,"Hay, Hurst, Waters, & Chadwick",2011,Infancy,10.1111/j.1532-7078.2011.00069.x,"The two aims of the study were (a) to determine when infants begin to use force intentionally to defend objects to which they might have a claim and (b) to examine the relationship between toddlers’ instrumental use of force and their tendencies to make possession claims. Infants’ and toddlers’ reactions to peers’ attempts to take their toys were assessed in three independent data sets in which the same observational coding system had been used (N = 200). To ensure that infants’ use of force was goal‐directed and not a simple physical reaction, we recorded infants’ reactions when peers picked up toys that the focal infants had just put down, or were nearby or in the focal infants’ mothers’ laps. The use of force in response to peers’ taking over toys was evident before the first birthday, but more common thereafter, although only a minority of children in each sample used force. Analysis of a combined data set revealed that force was deployed more often by 2‐year‐olds than younger infants, and was significantly associated with verbal references to people’s possession of objects. These observations show that toddlers do deploy force intentionally to defend their possessions.","cognition/cognitive development, aggression",1,Yes,10.6,25 boys; 25 girls,11.9,24 boys; 24 girls,24.8,24 boys; 24 girls,,,25 boys; 25 girls (9-12 month sample); 24 boys; 24 girls for each sample (for the 12- and 24-month-olds group); 54 focal children with 54 best friends of the focal child (26 boys and 28 girls),"10.6 for the 9-12 month sample; 11.9 for the 12-month group; 24.8 for the 24-month group; and no mean age for the focal children (they were either 18-, 24-, or 30-month-old)",Yes,Yes,"a 2 x 2 MANOVA tested for the effects of age band and the focal child’s sex on the two motoric reactions to toys being taken, resistance and use of force (Figure 1). There was no significant association with the child’s sex and no interaction between sex and age band. 

a univariate 2 · 2 analysis of variance (ANOVA) testing for the effects of age and the focal child’s sex on protest revealed the proportion of reactions to takes that contained elements of vocal or verbal protest was influenced by an interaction between age band and sex of the child, F(1, 163) = 4.41, p < .04, partial g2 = .03, as well as a main effect of age band, F(1, 163) = 39.62, p < .001, partial g2 = .20 (Figure 2).

The expected significant association between speech about possession and protest against peers’ attempts to take object was observed for both sexes, q(82) = .37, p < .001 for girls and q(85) = .52, p < .001 for boys. Speech about possession rights was only associated with instrumental aggression for boys, q(85) = .30, p < .005 for boys, versus q(82) = .05, ns, for girls.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1
11/1/2020 15:33,rlyang@princeton.edu,"Wu, Mareschal, & Rakison",2011,Infancy,10.1111/j.1532-7078.2010.00061.x,"It is well established that 2‐year‐olds attribute a novel label to an object’s global shape rather than local features (i.e., parts). Although recent studies have found that younger infants also attend to global rather than local features when given a label, the test stimuli in these experiments confounded parts and shape by varying both or neither. With infants (16‐ and 24‐month‐olds) and adults, this experiment disentangled shape and parts with appropriate test objects. Results showed a clear development of a strategy incorporating multiple cues. Across three age groups, there was an increase in generalizing labels to objects matching the exemplar’s local and global features (parts, base, and shape), and a decrease to objects matching in only one local feature. We discuss these results in terms of a learned flexibility in using multiple cues to predict lexical categories.","attention/selective attention, categorization, learning",1,No,16,14,24,16,,,,,14 16-month-olds; 16 24-month-olds (no gender reported),16 and 24 for each respective group,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
1/15/2021 15:36,rlyang@princeton.edu,"Meins, Fernyhough, Arnott, Vittorini, Turner, Leekam, Parkinson",2011,Infancy,10.1111/j.1532-7078.2010.00065.x,"Relations between infant–mother attachment security at 15 months and infants’ (N = 206) joint attention behaviors (a) with an experimenter at 8 and 15 months, and (b) with their mothers at 15 months were investigated. No concurrent or longitudinal relations were observed between attachment security and infants’ tendency to respond to an experimenter’s bids for joint attention. Higher levels of initiating joint attention with an experimenter at 15 months were associated with insecure‐avoidant attachment. Insecure‐avoidant attachment was also associated with lower scores for initiating high‐level joint attention behaviors (pointing, showing, and giving) with the mother at age 15 months. The fact that security‐related differences in initiating joint attention with an experimenter were observed only once the attachment relationship was consolidated suggests that (a) attachment security may influence infants’ active engagement with new social partners, and (b) insecure‐avoidant infants may compensate for reduced social contact with the caregiver by initiating more interaction with other social partners.","attention/selective attention, cognition/cognitive development, language, strange situation",1,No,8,98 boys; 108 girls,15,98 boys; 108 girls,,,,,98 boys; 108 girls,8 months at phase 1; 15 months at phase 2,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
1/15/2021 15:42,rlyang@princeton.edu,"Anzures, Pascalis, Quinn, Slater, Lee",2011,Infancy,10.1111/j.1532-7078.2010.00066.x,"An abundance of experience with own‐race faces and limited to no experience with other‐race faces has been associated with better recognition memory for own‐race faces in infants, children, and adults. This study investigated the developmental origins of this other‐race effect (ORE) by examining the role of a salient perceptual property of faces—that of skin color. Six‐ and 9‐month‐olds’ recognition memory for own‐ and other‐race faces was examined using infant‐controlled habituation and visual‐paired comparison at test. Infants were shown own‐ or other‐race faces in color or with skin color cues minimized in grayscale images. Results for the color stimuli replicated previous findings that infants show an ORE in face recognition memory. Results for the grayscale stimuli showed that even when a salient perceptual cue to race, such as skin color information, is minimized, 6‐ to 9‐month‐olds, nonetheless, show an ORE in their face recognition memory. Infants’ use of shape‐based and configural cues for face recognition is discussed.","categorization, memory, recognition",1,No,6,24 boys; 14 girls,9,19 boys; 21 girls,,,,,24 boys; 14 girls (6-month-olds) 19 boys; 21 girls (9-month-olds),6 and 9,Yes,No,"No statistics given, but ""a preliminary analysis showed no significant main effect or interactions with participant gender, and thus the analysis was collapsed across this variable.""",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
2/3/2021 19:36,rlyang@princeton.edu,Sullivan & Lewis,2012,Infancy,10.1111/j.1532-7078.2011.00077.x,"Infants and their mothers participated in a longitudinal study of the sequelae of infant goal‐blockage responses. Four‐month‐old infants participated in a standard contingency learning and goal‐blockage procedure during which anger and sad facial expressions to the blockage were coded. When infants were 12 and 20 months old, mothers completed a questionnaire about their children’s tantrums. Tantrum scores increased with age and boys tended to show more tantrum behavior than girls. Anger expressed to goal blockage at 4 months was unrelated to tantrum behavior. There was a gender by sad expression interaction. Girls who expressed sadness in response to the goal blockage had lower total tantrum scores than boys; otherwise there was no difference. These results suggest that tantrums of infants who display sad, not anger expression, in response to goal blockage, are differentially influenced by children’s gender.","emotion/emotional development, goal-blockage",1,Yes,12,40 boys; 50 girls,20,40 boys; 50 girls,,,,,40 boys; 50 girls,longitudinal study at 12 months and 20 months,Yes,Yes,"F(1, 67) = 3.94, p < .05, η2 = .06; F(1, 131.88) =  4.12, p < .01; F(1, 130.72) = 12.07, p < .001; F(1, 27) = 5.80, p < .05, η2 = .19, Cohen’s d = .93",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
2/3/2021 20:21,rlyang@princeton.edu,"Messinger, Ekas, Ruvolo, & Fogel",2012,Infancy,10.1111/j.1532-7078.2011.00074.x,"The degree to which infants’ current actions are influenced by previous action is fundamental to our understanding of early social and cognitive competence. In this study, we found that infant gazing manifested notable temporal dependencies during interaction with mother even when controlling for mother behaviors. The durations of infant gazes at mother’s face were positively predicted by the durations of the two previous gazes at mother’s face. Similarly, the durations of gazes away from mother’s face were positively predicted by the durations of the two previous gazes of the same type. The durations of gazes at and away from mother’s face, however, were not predicted by one another. This pattern suggests that infants exhibit distinct and temporally stable levels of interest in social and nonsocial features of the environment. In this report, we discuss the implications of these results for parents, for experimental research using looking time measures, and for our understanding of infants’ developing communicative abilities.","attention/selective attention, infant gaze",1,No,1,8 boys; 5 girls,6,8 boys; 5 girls,,,,,8 boys; 5 girls,longitudinal; weekly observations from 4 to 24 weeks,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
2/8/2021 16:46,rlyang@princeton.edu,"Meins, Fernyhough, de Rosnay, Arnott, Leekam, & Turner",2012,Infancy,10.1111/j.1532-7078.2011.00087.x,"In a socially diverse sample of 206 infant�mother pairs, we investigated predictors of infants� attachment security at 15?months, with a particular emphasis on mothers� tendency to comment appropriately or in a non?attuned manner on their 8?month?olds� internal states (so?called mind?mindedness). Multinomial logistic regression analyses showed that higher scores for appropriate mind?related comments and lower scores for non?attuned mind?related comments distinguished secure?group mothers from their counterparts in the insecure?avoidant, insecure?resistant, and insecure?disorganized groups. Higher scores for appropriate mind?related comments and lower scores for non?attuned mind?related comments also independently predicted dichotomous organized/disorganized attachment. General maternal sensitivity predicted neither attachment security nor organization, although sensitivity was found to relate to dichotomous secure/insecure attachment specifically in the context of low socioeconomic status. The findings highlight how appropriate and non?attuned mind?related comments make independent contributions to attachment and suggest that mind?mindedness is best characterized as a multidimensional construct.",attachment security; mind?mindedness,1,No,8,98 boys; 108 girls,15,98 boys; 108 girls,,,,,98 boys; 108 girls,longitudinal at 8 and 15 months,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
